Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/Gintama/;Gintama10;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama11;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama12;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama13;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama14;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama15;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/Gintama/;Gintama16;.jpg;No;Glenat;Descatalogada;Terminada;16;77;No
Mangas/KillLaKill/;KillLaKill01;.jpg;Si;Ivrea;Terminada;Terminada;3;3;No
Mangas/KillLaKill/;KillLaKill02;.jpg;Si;Ivrea;Terminada;Terminada;3;3;No
Mangas/KillLaKill/;KillLaKill03;.jpg;Si;Ivrea;Terminada;Terminada;3;3;No
Mangas/KingsGame/;KingsGame01;.jpg;No;Ivrea;Terminada;Terminada;5;5;No
Mangas/KingsGame/;KingsGame02;.jpg;No;Ivrea;Terminada;Terminada;5;5;No
Mangas/KingsGame/;KingsGame03;.jpg;No;Ivrea;Terminada;Terminada;5;5;No
Mangas/KingsGame/;KingsGame04;.jpg;Si;Ivrea;Terminada;Terminada;5;5;No
Mangas/KingsGame/;KingsGame05;.jpg;No;Ivrea;Terminada;Terminada;5;5;No
Mangas/KoeNoKatachi/;KoeNoKatachi01;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/KoeNoKatachi/;KoeNoKatachi02;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/KoeNoKatachi/;KoeNoKatachi03;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/KoeNoKatachi/;KoeNoKatachi04;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
